ID,Serviço,Bairro,Prioridade,Status,Dias_Em_Andamento,Data_Abertura
38,Iluminação Pública,Vila Nova,Alta,Encerrada,12,2024-02-07
39,Coleta de Lixo,Vila Nova,Média,Resolvida,10,2024-02-08
40,Abastecimento de Água,Bairro Alto,Média,Resolvida,15,2024-02-09
41,Energia Elétrica,Residencial Sul,Baixa,Resolvida,22,2024-02-10
42,Iluminação Pública,Parque Industrial,Baixa,Em Andamento,39,2024-02-11
43,Energia Elétrica,Centro,Alta,Resolvida,21,2024-02-12
44,Energia Elétrica,Jardim das Flores,Baixa,Encerrada,39,2024-02-13
45,Transporte Público,Bairro Alto,Média,Em Andamento,37,2024-02-14
46,Transporte Público,Jardim das Flores,Média,Encerrada,27,2024-02-15
47,Iluminação Pública,Centro,Alta,Aberta,12,2024-02-16
48,Coleta de Lixo,Centro,Média,Em Andamento,20,2024-02-17
49,Abastecimento de Água,Bairro Alto,Baixa,Resolvida,20,2024-02-18
50,Energia Elétrica,Centro,Alta,Encerrada,18,2024-02-19
51,Transporte Público,Bairro Alto,Baixa,Em Andamento,30,2024-02-20
52,Transporte Público,Jardim das Flores,Alta,Encerrada,48,2024-02-21
53,Energia Elétrica,Centro,Média,Aberta,35,2024-02-22
54,Energia Elétrica,Parque Industrial,Baixa,Aberta,14,2024-02-23
55,Abastecimento de Água,Parque Industrial,Média,Resolvida,37,2024-02-24
56,Abastecimento de Água,Vila Nova,Média,Resolvida,58,2024-02-25
57,Iluminação Pública,Centro,Baixa,Em Andamento,15,2024-02-26
58,Iluminação Pública,Bairro Alto,Média,Encerrada,37,2024-02-27
59,Abastecimento de Água,Vila Nova,Alta,Em Andamento,47,2024-02-28
60,Coleta de Lixo,Bairro Alto,Alta,Aberta,20,2024-02-29
61,Energia Elétrica,Parque Industrial,Média,Aberta,42,2024-03-01
62,Transporte Público,Parque Industrial,Média,Aberta,55,2024-03-02
63,Abastecimento de Água,Parque Industrial,Média,Aberta,51,2024-03-03
64,Iluminação Pública,Parque Industrial,Média,Resolvida,26,2024-03-04
65,Transporte Público,Residencial Sul,Média,Em Andamento,28,2024-03-05
66,Coleta de Lixo,Parque Industrial,Média,Aberta,27,2024-03-06
67,Iluminação Pública,Residencial Sul,Média,Resolvida,11,2024-03-07
68,Iluminação Pública,Centro,Média,Encerrada,26,2024-03-08
69,Energia Elétrica,Bairro Alto,Baixa,Aberta,43,2024-03-09
70,Iluminação Pública,Vila Nova,Média,Em Andamento,0,2024-03-10
71,Transporte Público,Vila Nova,Baixa,Resolvida,32,2024-03-11
72,Transporte Público,Bairro Alto,Alta,Encerrada,0,2024-03-12
73,Iluminação Pública,Centro,Média,Encerrada,38,2024-03-13
74,Coleta de Lixo,Centro,Média,Encerrada,12,2024-03-14
75,Iluminação Pública,Residencial Sul,Alta,Aberta,11,2024-03-15
76,Abastecimento de Água,Parque Industrial,Alta,Em Andamento,44,2024-03-16
77,Iluminação Pública,Centro,Alta,Encerrada,14,2024-03-17
78,Abastecimento de Água,Vila Nova,Alta,Em Andamento,58,2024-03-18
79,Iluminação Pública,Residencial Sul,Alta,Resolvida,36,2024-03-19
80,Energia Elétrica,Centro,Média,Resolvida,36,2024-03-20
81,Energia Elétrica,Bairro Alto,Média,Encerrada,0,2024-03-21
82,Energia Elétrica,Parque Industrial,Alta,Em Andamento,50,2024-03-22
83,Transporte Público,Vila Nova,Baixa,Aberta,28,2024-03-23
84,Coleta de Lixo,Vila Nova,Média,Resolvida,28,2024-03-24
85,Abastecimento de Água,Centro,Alta,Em Andamento,25,2024-03-25
86,Abastecimento de Água,Vila Nova,Baixa,Encerrada,3,2024-03-26
87,Abastecimento de Água,Vila Nova,Alta,Encerrada,40,2024-03-27
88,Energia Elétrica,Vila Nova,Média,Encerrada,7,2024-03-28
89,Transporte Público,Parque Industrial,Alta,Resolvida,44,2024-03-29
90,Abastecimento de Água,Centro,Alta,Em Andamento,57,2024-03-30
91,Coleta de Lixo,Bairro Alto,Média,Em Andamento,37,2024-03-31
92,Transporte Público,Vila Nova,Alta,Encerrada,45,2024-04-01
93,Coleta de Lixo,Centro,Alta,Resolvida,36,2024-04-02
94,Energia Elétrica,Parque Industrial,Média,Aberta,53,2024-04-03
95,Transporte Público,Vila Nova,Baixa,Resolvida,25,2024-04-04
96,Abastecimento de Água,Parque Industrial,Baixa,Aberta,50,2024-04-05
97,Transporte Público,Parque Industrial,Alta,Resolvida,39,2024-04-06
98,Iluminação Pública,Centro,Baixa,Resolvida,17,2024-04-07
99,Transporte Público,Bairro Alto,Alta,Em Andamento,31,2024-04-08
100,Iluminação Pública,Residencial Sul,Baixa,Aberta,33,2024-04-09
